"Place","District(s)","Pop (cutoff 10k)"
"LUSAKA","1;35",1084703
"NDOLA",16,374757
"KITWE",10,363734
"KABWE","2;25;39;40;45;63",176758
"CHINGOLA",8,147448
"MUFULIRA",15,122336
"LUANSHYA",11,115579
"LIVINGSTONE",60,97488
"KASAMA","40;50",74243
"CHIPATA","3;5;6;19;43",73110
"CHILILABOMBWE","7;8",54504
"KALULUSHI",9,52770
"MAZABUKA",61,47148
"KAFUE","10;11;33",45890
"MONGU",69,44310
"MANSA",27,41059
"CHOMA","18;21;38;39;55;66",40405
"SOLWEZI",53,38121
"KAPIRI MPOSHI",3,27219
"MPIKA","6;43",25856
"MONZE",62,24603
"NCHELENGE",30,20709
"KAWAMBWA",26,17954
"SAMFYA",31,17622
"MBALA",42,16936
"MUMBWA",5,15949
"PETAUKE",24,14578
"SESHEKE",71,13877
"SIAVONGA",64,13043
"KAOMA",67,12363
"CHINSALI",37,11507
"ISOKA",38,11488
"KALOMO",58,11004
"MWINILUNGA",52,10745
"MKUSHI",4,10597
"MAAMBA",65,10415
"KATETE","20;39;66",10413
"AARON","18;40;47",
"ABEL",38,
"ABEL MUWANDA",24,
"ABEL MUWANDYA",38,
"ABELE MABA",23,
"ABELO",6,
"ABOYLO",37,
"ACHITENDE",40,
"ADAMS",54,
"ADAMSON CHIBUYE",6,
"ADAMSON KULUBALE",6,
"ADAMSON SIYAME",38,
"ADONIBIZEKA",20,
"ADONSI",71,
"ADRIAS",17,
"AFUMBA",67,
"AGRIPA",24,
"AIBELILWE",71,
"AIKELILE",71,
"AIKONDO",69,
"AILOLA",70,
"AJUNGAJUNGA",71,
"AKAAIWA",70,
"AKABITI",70,
"AKAKAMBA",71,
"AKAMONWA",71,
"AKAPELWA",60,
"AKASHAMBATWA",66,
"AKAWI",70,
"AKAZEBI",22,
"AKIM KOSOMA",6,
"AKIM MAKOSA",6,
"AKOKWA",70,
"AKSON",19,
"ALAN CHIBUYA",6,
"ALASON CHOLAFULA",6,
"ALEC CHIMPONDA",6,
"ALELUBA",71,
"ALESHI CHISENDA",6,
"ALESHI FLAICHANGWE",6,
"ALEXANDER MUNUNKA",6,
"ALFRED",2,
"ALI SAKALANI",39,
"ALIFEYO NGAMBE",38,
"ALIK CHILEMBO",38,
"ALIKIKOYA",20,
"ALIMONI MAMBWE",6,
"ALIOMBA",70,
"ALIYUDA",22,
"ALLOLEYA",45,
"ALON",38,
"ALONI",6,
"AMATENDE",66,
"AMBANGA",70,
"AMBANWA",71,
"AMOKA",69,
"AMON EPAHIM",22,
"AMONI","19;20;30",
"AMONI KAPANSULA",6,
"AMONI MUKANDO",6,
"AMOS",24,
"AMOS KALUNGA",6,
"AMOS KAPETA",6,
"AMOS MWELWA",6,
"AMUKUSANA","69;71",
"AMUKUTEILE",71,
"AMWALANA",70,
"ANALIWA",66,
"ANAMAA",69,
"ANAMBULU",69,
"ANANDALA",69,
"ANASAMBATA",71,
"ANAWANA",70,
"ANDALA SONCHALWE",6,
"ANDELEYA",42,
"ANDERSON",19,
"ANDERSON MULAWA",71,
"ANDERSONI",6,
"ANDISENI",24,
"ANDREA",22,
"ANDREA MWANJE",6,
"ANDREW","38;47",
"ANDREW SINKALA",47,
"ANDREYA",42,
"ANDUU",69,
"ANOCK CHIKWABA",1,
"ANOYA ZULU",7,
"ANTEU",21,
"ANUELI LUAWA",6,
"ANWELO KALUNGA",6,
"ANZELI",51,
"AONGOLA",69,
"ARAN",22,
"ARON","20;21;24;42",
"ARON KUNDA",6,
"ARONI",24,
"ARONI CHILONGO",22,
"ASAFU",19,
"ASIKULI",71,
"ASIYENYE",70,
"ASLAS",24,
"ASSUMANI",42,
"ATANGA","66;69",
"AUSIKU",66,
"AWABELILI",72,
"AWATA",66,
"AXON CHINTU",6,
"AZELE",20,
"BACHUNDU",20,
"BAGASA",64,
"BAHATI",27,
"BAILA",22,
"BAIMBAI",68,
"BAKENGA",59,
"BALANBEEN",13,
"BALAZI",42,
"BALMORAL",33,
"BALUBA",11,
"BALUMIKA",4,
"BAMBWE",63,
