Name,Relative Likelihood
MARY,283
AGNESS,191
GRACE,185
ELIZABETH,166
JOYCE,156
RUTH,138
ESTHER,137
CHRISTINE,136
JUDITH,133
GETRUDE,129
FLORENCE,127
CHARITY,124
ALICE,123
IREEN,118
BEATRICE,114
DOROTHY,114
MAUREEN,114
PATRICIA,106
CATHERINE,104
MARTHA,99
EUNICE,93
JOSEPHINE,91
MIRRIAM,87
MONICA,87
LOVENESS,84
SUSAN,83
MARGRET,79
MERCY,79
CATHRINE,76
ROSEMARY,75
ANNA,74
VIOLET,71
BETTY,70
ANNIE,69
BRENDA,69
BRIDGET,66
JANE,64
MARGARET,59
DOREEN,58
HELLEN,58
PRISCA,58
REGINA,58
PRECIOUS,56
ESNART,55
BEAUTY,54
ROSE,53
VERONICA,53
JUSTINA,52
GLADYS,51
JANET,51
CECILIA,50
ELINA,45
IDAH,44
SARA,44
JENIPHER,42
JESSY,40
LYDIA,40
MAGGIE,40
MISOZI,40
RABECCA,40
ANGELA,39
NAOMI,39
JULIET,38
MERVIS,38
STELLA,38
HILDA,37
SHARON,37
EDINA,36
HILDAH,36
RHODA,36
SARAH,36
MILDRED,35
RACHEAL,35
DORIS,34
BERTHA,33
MARIA,33
FEBBY,32
EVELYN,31
HARRIET,31
MABLE,31
CAROL,30
MUTINTA,30
CHRISTINA,29
FRIDAH,29
JENNIPHER,29
SOPHIA,29
LILIAN,28
PEGGY,28
LILLIAN,27
MATILDA,27
GLORIA,26
PRISCILLA,26
THERESA,26
VICTORIA,26
SYLVIA,25
EDITH,24
FELISTUS,24
LINDA,24
MEMORY,24
SELINA,24
PETRONELLA,23
BELITA,22
ENELESS,22
DORICA,21
FALESI,21
RACHAEL,21
ATINESS,20
EMMA,20
LUCIA,19
MATILDAH,19
NELIA,19
NELLY,19
CLARA,18
DIANA,18
EMELDA,18
JULIA,18
LEYA,18
MAJORY,18
MONDE,18
FANELLY,17
LUCY,17
PAMELA,17
DAINESS,16
INESS,16
LISTER,16
LYNESS,16
MELODY,16
SHELLY,16
ALINESS,15
EMELIA,15
ETHEL,15
FOSTINA,15
IVY,15
JEAN,15
LIZZY,15
LOYCE,15
QUEEN,15
ROYCE,15
CONSTANCE,14
CYNTHIA,14
EMELLY,14
ENELESI,14
ESTER,14
GIFT,14
LINA,14
VIRGINIA,14
ELESTINA,13
ELIZA,13
FATNESS,13
FRIDA,13
GEORGINA,13
JOSPHINE,13
MALITA,13
SABINA,13
SANDRA,13
SILVIA,13
GIVEN,12
MAGRET,12
OLIPA,12
PAULINE,12
SALOME,12
TASILA,12
BWALYA,11
CAROLINE,11
HOPE,11
JUDY,11
NORAH,11
RHODAH,11
RITA,11
ROSTER,11
VAINESS,11
VASTY,11
YVONNE,11
ZELIPA,11
ABIGAIL,10
ASTRIDA,10
ASTRIDAH,10
BARBARA,10
EVA,10
JULIANA,10
SIPIWE,10
AGATHA,9
BERNADETTE,9
CHIPO,9
CHRISTABEL,9
DAILESS,9
DORCAS,9
ENESS,9
ESTELE,9
EVERLYN,9
FAUSTINA,9
FOSTER,9
HELEN,9
MAVIS,9
MILIKA,9
NATASHA,9
SARAFINA,9
BELINDA,8
CHANDA,8
ELESI,8
ELLEN,8
FAIDES,8
FALAZIA,8
LISA,8
MACKLINA,8
