"Name","Relative Likelihood"
"JOHN",237
"JOSEPH",233
"CHARLES",194
"PETER",160
"PATRICK",139
"JAMES",126
"MOSES",122
"CHRISTOPHER",121
"EMMANUEL",112
"GEORGE",100
"ISAAC",100
"DAVID",99
"RICHARD",95
"FRANCIS",87
"KENNEDY",83
"PAUL",79
"ANDREW",72
"DANIEL",68
"ALFRED",64
"STEVEN",64
"SAMSON",63
"EDWARD",61
"HENRY",61
"STEPHEN",61
"ROBERT",60
"KELVIN",59
"EVANS",58
"SIMON",58
"FRED",56
"ALEX",54
"MARTIN",54
"MATHEWS",53
"MICHAEL",52
"ELIAS",50
"GODFREY",50
"VICTOR",50
"BERNARD",49
"VINCENT",49
"MIKE",48
"FELIX",47
"JACKSON",47
"THOMAS",47
"BENSON",46
"MABVUTO",46
"ALICK",45
"DICKSON",45
"LAWRENCE",44
"MICHEAL",44
"BRIAN",43
"TIMOTHY",43
"GIFT",42
"LEONARD",41
"WILLIAM",41
"JOSHUA",40
"DAVISON",39
"AARON",38
"CLEMENT",38
"KENNETH",38
"FRANK",37
"LACKSON",37
"JONATHAN",36
"BOYD",33
"OLIVER",33
"SAMUEL",33
"EDWIN",32
"GEOFREY",32
"ACKSON",31
"WILSON",31
"BORNFACE",30
"EDSON",30
"FREDRICK",30
"LAZAROUS",30
"ABRAHAM",29
"ALBERT",29
"COLLINS",29
"HARRISON",29
"LAMECK",29
"WEBBY",29
"DANNY",28
"LEWIS",28
"GILBERT",27
"JACOB",27
"RAPHAEL",27
"ENOCK",26
"FRIDAY",26
"JUSTINE",25
"ANDERSON",24
"CHRISPIN",24
"CHRISPINE",24
"JOE",24
"MAXWELL",24
"SHADRECK",24
"ACKIM",23
"DAVY",23
"JIMMY",23
"RODGERS",23
"STANLEY",23
"BORNIFACE",22
"NELSON",22
"RABSON",22
"CEPHAS",21
"COSMAS",21
"DERRICK",21
"GIBSON",21
"MATHIAS",21
"MISHECK",21
"NATHAN",21
"PATSON",21
"ROYD",21
"SYLVESTER",21
"TYSON",21
"DAVIES",20
"INNOCENT",20
"JUSTIN",20
"DOMINIC",19
"LYSON",19
"ABEL",18
"DENNIS",18
"ENERST",18
"ERNEST",18
"GIDEON",18
"JULIUS",18
"MASAUSO",18
"NICHOLAS",18
"PHILIP",18
"REUBEN",18
"SOLOMON",18
"TEDDY",18
"BENJAMIN",17
"DONALD",17
"EPHRAIM",17
"LEVY",17
"PHILLIP",17
"TOBIAS",17
"CHRIS",16
"JAPHET",16
"OSCAR",16
"SUNDAY",16
"ALLAN",15
"BRIGHT",15
"DAVIS",15
"ERICK",15
"FANWELL",15
"GODWIN",15
"GOLDEN",15
"RODRICK",15
"SYDNEY",15
"CLEVER",14
"ESAU",14
"GABRIEL",14
"GOODSON",14
"JEREMIAH",14
"KENNY",14
"MOFFAT",14
"MORIS",14
"NOAH",14
"ROBSON",14
"SILVESTER",14
"STANELY",14
"BEN",13
"DOUGLAS",13
"EVARISTO",13
"GIVEN",13
"JASON",13
"MASAUTSO",13
"MORGAN",13
"PRINCE",13
"SHADRICK",13
"WHITE",13
"ADAM",12
"AMOS",12
"BORNWELL",12
"BRIGHTON",12
"ELLIOT",12
"JOEL",12
"LUKA",12
"MARK",12
"NASON",12
"PHILLIMON",12
"TEDSON",12
"TITUS",12
"ANTHONY",11
"BENNY",11
"DENIS",11
"FACKSON",11
"JACK",11
"LANGSON",11
"LEVISON",11
"LOVEMORE",11
"MARY",11
"WHITESON",11
"AMON",10
"ANTONY",10
"BWALYA",10
"FINES",10
"JOSPHAT",10
"LEMMY",10
"LYFORD",10
"PEARSON",10
"PENIAS",10
"WISDOM",10
"BROWN",9
"CHANDA",9
"DAMIANO",9
"DERICK",9
"ELIJAH",9
"EZEKIEL",9
"FIDELIS",9
"GREGORY",9
"JOSEPHAT",9
"JUNIOR",9
"KINGSLEY",9
"MASIYE",9
"MORRIS",9
"MULENGA",9
"NICKSON",9
"OWEN",9
"RAPHEAL",9
"ROY",9
"SAIDI",9
"SMART",9
"THOMSON",9
"TRESFORD",9
"WATSON",9
"ANOLD",8
"ASTON",8
"BLACKSON",8
"EDGAR",8
"FABIANO",8
"HAPPY",8
"HOWARD",8
"KEBBY",8
"KILLIAN",8
"LOTTIE",8
"MARKO",8
"PHILIMON",8
"ROBBY",8
"SAM",8
"WEBSTER",8
"ALAN",7
"BENARD",7
"CHISOMO",7
"DUNCAN",7
"ELVIS",7
"GEOFFREY",7
"JONES",7
"KELLY",7
"LLOYD",7
"LOUIS",7
"MAX",7
"MUSONDA",7
"RONALD",7
"STEWARD",7
"YONA",7
"ADRIAN",6
"AGGREY",6
"AGREY",6
"AMOSE",6
"ANGEL",6
"ASWELL",6
"AUGUSTINE",6
"AUSTIN",6
"BILLY",6
"BOSTON",6
"BRUNO",6
"CHOOLWE",6
"CHRISTINE",6
"CLIFORD",6
"CLIVE",6
"DALITSO",6
"DAVIE",6
"ELISA",6
"EMISON",6
"ESAYA",6
"EUGENE",6
"EUGINE",6
"EVERSON",6
"GERALD",6
"GRANDSON",6
"HEBERT",6
"HERBERT",6
"HUMPHREY",6
"IAN",6
"IGNATIUS",6
"IWELL",6
"JAILOS",6
"JOSIAS",6
"JULIAS",6
"KEZIAS",6
"LAZARUS",6
"LOYD",6
"LUBASI",6
"LUKAS",6
"MAMBWE",6
"MASTER",6
"MAYBIN",6
"MELVIN",6
"MUMBA",6
"MWENYA",6
"NEVERS",6
"NEWTON",6
"NYAMBE",6
"OBERT",6
"OSWARD",6
"PAISON",6
"PRECIOUS",6
"ROBINSON",6
"RODWELL",6
"SANFORD",6
"SIGN",6
"SITALI",6
"SONNY",6
"TENFORD",6
"TRYSON",6
"TRYWELL",6
"WILFRED",6
"WILLY",6
"YAMIKANI",6
"YOHANE",6
"ZAKEYO",6
"ZEBRON",6
"AKIM",5
"ALEXANDER",5
"ANDISENI",5
"AUBREY",5
"BOSWELL",5
"CHIPEGO",5
"COSTAIN",5
"CRISPIN",5
"DISMUS",5
"EDDY",5
"ELESANI",5
"ERIC",5
"FESTUS",5
"FREDDY",5
"GEDION",5
"GERARD",5
"GODFFREY",5
"GREEN",5
"GREVAZIO",5
"HASSAN",5
"IVAN",5
"JIM",5
"JUMA",5
"KINGSTON",5
"KONZANI",5
"LANDILANI",5
"LAURENT",5
"LINOS",5
"MALAMBO",5
"MATEYO",5
"MATTHEW",5
"MIRRIAM",5
"MUKELABAI",5
"MWANSA",5
"MWELWA",5
"NEVER",5
"NORMAN",5
"OBED",5
"REDSON",5
"SAILOTA",5
"SIMEON",5
"STANSLOUS",5
"TAONGA",5
"TEMBO",5
"TRUST",5
"VAKACHANI",5
"VOICE",5
"WELUZANI",5
"WILLARD",5
"YELESANI",5
"YORAM",5
"YOTAM",5
"ZACKS",5
"ABINALA",4
"ALEFA",4
"ALISON",4
"ANDISEN",4
"ARNOLD",4
"BONIFACE",4
"BRUCE",4
"CHIZA",4
"CROSBY",4
"DARIUS",4
"DIVINE",4
"EDMOND",4
"ELISON",4
"FAINDANI",4
"FRAZER",4
"GANIZANI",4
"GENESIS",4
"GRANDWELL",4
"GREENWELL",4
"GREYSON",4
"HASTINGS",4
"IREEN",4
"JEVAS",4
"JONAS",4
"KANGWA",4
"KWEZEKANI",4
"LASTON",4
"LIMBIKANI",4
"LUCKY",4
"LUYANDO",4
"MARIO",4
"MATHEW",4
"MATTHEWS",4
"MUBITA",4
"MWEEMBA",4
"NAWA",4
"NGOSA",4
"OBBY",4
"PARKSON",4
"PONSILIO",4
"RICHERD",4
"SHEPHERD",4
"SPIDER",4
"TAPSON",4
"TOM",4
"TWAMBO",4
"VENANSIO",4
"WARREN",4
"WATCH",4
"WESTON",4
"WINTER",4
"YOBE",4
"ZACHARIA",4
"ZAKARIA",4
"ABRAM",3
"ABSON",3
"ACKLAS",3
"ACTOR",3
"ADAMSON",3
"AFUNIKA",3
"AGNESS",3
"AGRIPA",3
"AKUFUNA",3
"ALARM",3
"ALIAS",3
"ALIBELITO",3
"ALICE",3
"ALIFAYO",3
"ALIMON",3
"ALOYSIOUS",3
"ALVIN",3
"AMADI",3
"ANTONIO",3
"ARTHUR",3
"ASAFU",3
"ASON",3
"ASSAN",3
"ASTECK",3
"AUGUSTINO",3
"AUSTEN",3
"AUSTINE",3
"AZEL",3
"BABY",3
"BALDWIN",3
"BANJI",3
"BARNABAS",3
"BAZILIO",3
"BEATWELL",3
"BENEDICT",3
"BERNAD",3
"BESTON",3
"BETWELL",3
"BINWELL",3
"BISHOP",3
"BIZECK",3
"BLASCO",3
"BLESSING",3
"BOBO",3
"BORNAVENTURE",3
"BRIVEN",3
"CATHERINE",3
