Name,Relative Likelihood
PHIRI,2034
BANDA,1719
ZULU,645
TEMBO,572
SAKALA,386
MWANZA,359
MWALE,321
MBEWE,298
LUNGU,231
DAKA,190
MULENGA,182
NJOBVU,147
MUMBA,134
NGOMA,132
NYIRENDA,110
BWALYA,107
CHANDA,95
MWEEMBA,95
NKHOMA,93
MUDENDA,90
MULEYA,88
MVULA,88
ZIMBA,85
JERE,79
MUSONDA,71
MITI,62
MOYO,61
MOONO,60
SOKO,60
MOONGA,59
MWANSA,57
MWAPE,56
MUTALE,52
MWILA,50
CHILESHE,46
MUNSANJE,45
MWEETWA,44
KUNDA,43
MALAMBO,39
MWIINGA,39
MTONGA,37
CHISANGA,36
MWAMBA,36
MAINZA,35
CHIRWA,34
MUBANGA,34
MUCHIMBA,33
MUNTANGA,33
CHISENGA,32
MUCHINDU,32
CHULU,31
MWAANGA,31
MANDA,30
MILIMO,29
MUKUKA,29
MUNKOMBWE,29
NGANDU,29
MALAMA,28
MUBITA,28
NGULUBE,28
SHAWA,28
MICHELO,27
MWENDA,27
SIAME,27
CHAMA,26
KAMANGA,26
MAMBWE,26
MWABA,26
KANGWA,25
KABWE,24
CHOLA,23
CHIBWE,22
MWELWA,22
NYAMBE,22
CHILUFYA,21
CHINYAMA,21
KATONGO,21
KAUNDA,21
MIYOBA,21
MWEWA,21
CHISHIMBA,20
CHONGO,20
KALUNGA,20
KUMWENDA,20
MAAMBO,20
MUNACHOONGA,20
CHEWE,19
CHUNGU,19
CHANSA,18
MUNSAKA,18
MUZYAMBA,18
NCHIMUNYA,18
NYONI,18
THOLE,18
CHEELO,17
KALENGA,17
MAKUKULA,17
NDHLOVU,17
NJOVU,17
SAMPA,17
SHUMBA,17
CHALWE,16
CHIBUYE,16
CHOONGO,16
MUTINTA,16
SICHONE,16
SIMUUNZA,16
MIZINGA,15
NYIRONGO,15
ZYAMBO,15
CHILALA,14
MBULO,14
MILAMBO,14
MKANDAWIRE,14
MWEENE,14
NYENDWA,14
SILILO,14
SINKALA,14
CHIBESA,13
GONDWE,13
HAMOONGA,13
KASONDE,13
KHONDOWE,13
MILANZI,13
MUMBI,13
MWENYA,13
MWINGA,13
NANYANGWE,13
NGOSA,13
NKHATA,13
NYANGA,13
SITALI,13
CHISHA,12
MPANDE,12
MUSUMALI,12
MUYUNDA,12
MWANGO,12
NKHUWA,12
TONGA,12
ZIWA,12
CHIPETA,11
CHOMBA,11
HABEENZU,11
MALUPANDE,11
MATONGO,11
MITTI,11
MUNDIA,11
NYANGU,11
BUBALA,10
KAFULA,10
MALUNGA,10
MAPULANGA,10
MBAO,10
MWANGALA,10
MWIYA,10
NGUNI,10
NGWENYA,10
NYAU,10
PUMULO,10
CHILANGA,9
CHIMUKA,9
CHISALA,9
DUBE,9
HAMALAMBO,9
HANGANDU,9
KABASO,9
KAKOMA,9
KALUMBA,9
KAOMA,9
KASONGO,9
KATEBE,9
KOMBE,9
LUBINDA,9
LUPIYA,9
MATE,9
MAZUBA,9
MOOMBA,9
MOOYA,9
MPUNDU,9
MSHANGA,9
MSONI,9
MUCHANGA,9
MUKUWA,9
NAKAZWE,9
NGOMBE,9
BESA,8
BOWA,8
CHILOMBO,8
CHOONGA,8
HANGOMA,8
MALIWA,8
MELEKI,8
MUKONKA,8
NKANDU,8
NYIMBA,8
NZALA,8
SAMBOKO,8
SHANZI,8
SIBANDA,8
SIKAZWE,8
SIMWANZA,8
SINYANGWE,8
